text,label
【中国联通】年终大回馈，免单大奖升级。固话、宽带、移网用户每天各抽一名得全年免账单，还有2019万元京东E卡等你来瓜分~点击https://u.10010.cn/qAE9U立即参与，回复TD退订。,正常
【中国联通】人人有礼拿，免全年账单、爱奇艺视频会员，电影券等多样奖品，来就送。今天登录获得100元京东E卡概率翻倍，说不定你就是手厅锦鲤。点击https://u.10010.cn/qAEGf立即参与，回复TD退订。,正常
【中国联通】尊敬的用户，月底了，请关注话费余额。现赠送您一次在中国联通手机营业厅直充50元享9折优惠特权，本月30号22点前有效，点击使用http://u.10010.cn/qABNr，回复TD退订。,正常
【中国联通手机营业厅】疯狂大砍价，砍至0元免费拿：腾讯、优酷视频会员，充值折扣券等。升级至最新版本，移动、电信都可帮砍哦，立即抢u.10010.cn/qAdKD回复TD可退订。,正常
【中国联通】双11十周年全民礼包，洗衣液、环保竹浆抽纸拼手气免费领取，更有天猫优惠券、支付宝红包等你来拿！点击dwz.cn/Z0HZ3afG开抢，11月11日前先到先得！,正常
【中国联通】尊敬的用户，手机营业厅为您提供了流量使用曲线图，一键查看近六个月流量使用情况，点击u.10010.cn/qAAp9，回复TD退订。,正常
【中国联通】截至03月29日24时，您当月套餐内国内通用流量已用176.3MB，剩余1.828GB；超出流量按套餐标准资费收取；点击进入http://u.10010.cn/tAE3v查询详情。,正常
为巩固防控成果，防止疫情反复，全市各殡葬单位清明期间继续暂停现场祭祀服务，实行封闭式管理，敬请广大市民实行居家追思、网络祭祀！（js.0551website.com)感谢您的理解与支持！【中国联通】,正常
今年消费维权年主题是“凝聚你我力量”。省消保委倡议：广大消费者科学文明消费，依法理性维权；广大经营者诚信守法经营，不断提高产品和服务质量。全社会携手营造更加安全放心的消费环境。【中国联通】,正常
【中国联通】您2020年2月份通信账单信息：用户号码：xxx；计费周期：2月1日-2月29日；本期消费：79.20元，其中：月固定费36元，增值业务费0.20元，查询详情请点击：http://xxx。回复TDZD退订本短信。【中国联通】,正常
温馨提示：截至本月8日，您有448积分。安全复工必备，清洁消毒限量抢，访问u.10010.cn/qALSJ。回QXJY退订【中国联通】,正常
【流量提醒】截至03月01日24时，您当月套餐内国内通用流量已用0.1MB，剩余2.000GB；超出流量按套餐标准资费收取；点击进入http:xxx查询详情。,正常
截至01月28日11时33分，您合作产品套餐A已用尽，超出语音按套餐标准资费收取；点击进入http:xxx查询详情。【中国联通】,正常
中国联通提醒您：吉祥春节，消防为先。家中不乱拉电线，取暖器远离可燃物。电动车易起火，产生高温毒气会夺命，停放或充电不要进楼入户。家庭逃生路线记心上，遇火逃生要及时。消防车道很重要，车辆停放不占用。,正常
【中国联通】目前，安徽已连续10天无新增确诊病例、新增疑似病例。全省16个市984例新冠肺炎确诊住院病例已全部出院，实现“清零”。“清零”不等于零风险，对疫情的警惕性不能降低、对防控的要求不能降低，不获全胜决不轻言成功。,正常
尊敬的客户，我们很高兴地宣布，《港囧》即将来袭！这部电影由NAMENAME执导和主演，同时还有薇包加盟。在《高空冒险情在囧途》，您将欣赏到一场爆笑不断的旅程。《详情点击URLctpn看直播下应用还能赚话费领流量抢伊份优惠券图书音像礼券歌友会门票》。不要错过这个机会哦！赶快下载我们的APP并注册吧！期待与您的见面~,正常
尊敬的客户，您好！感谢您一直以来对中国移动的支持与信任。近日我公司最新到货一批G大屏手机正在进行半价销售活动，数量有限，预购从速哦～如有需求请尽快联系我们分公司客户经理[NAME]，电话：CELLPHONE。期待能为您提供优质的服务体验和满意度评价保持沟通[DIGIT]分,正常
尊敬的客户，中国移动现在推出了一系列优惠活动。您可以免费更换NAMEDIGIT元话费并享受更多存费送费的优惠政策。您只需前往附近的营业厅或代理商处办理即可享受到这些福利和实惠的中国移动光宽带服务！好用不贵更实惠的选择就在您的身边等待着你赶快行动吧!,正常
【中国电信纷享包】免费体验来啦！海量漫画随你看，立即发送短信“DIGIT”到XXX开通当月成功订购就送XX元话费。,正常
尊敬的客户，您好！我们很高兴地通知您参加一项特别活动。只要您的号能办交DIGIT元送价值千元智能手机再送DIGIT元话费的活动正在进行中。为了参与此项优惠，请您在前往甲尔坝村PLACEPLACEDIGIT米中国移动专营店的时候带上身份证即可享受我们的专属服务并获得丰厚的礼品和福利。请注意此次活动的截止日期只有天时间哦！期待您的光临！,正常
尊敬的客户，您好！我们很高兴向您推荐一部即将上映的电影《港囧》。这部电影由知名导演NAME执导，主演包括NAME、薇包和NAME。影片讲述了一群人在高空冒险的故事情节在“囧”途上爆笑归来。《详情点击URLctpn看直播下应用还能赚话费领流量抢来伊份优惠券图书音像礼券和歌友会门票》期待您的光临和支持！,正常
尊敬的客户，您好！感谢您一直以来对中国移动的支持与信任。我们很高兴地宣布，我们的PLACE客户端已经全面升级啦！为了回馈广大用户对我们的支持，我们将为下载并登录的前10名客户提供每人DIGIT元的话费赠送（仅限收到本通知的用户参与）。同时，如果您将您的版本更新至DIGIT版还可以享受充值优惠和流量叠加包的折扣哦！赶快进入首页PLACE优惠页面办理吧！最高可连续3个月获赠25元话费或7.5GB流量呢！点击[URL]立即下载体验吧！（中国移动）,正常
"""尊敬的客户，感谢您一直以来对中国移动的支持和信任。为了回馈广大用户，我们特别推出了一项优惠活动——""""""""岁末回馈""""""""。在元月日到东环路中国移动公司缴款满一定金额后即可获得最高送话费、大屏手机等丰厚礼品！同时还有机会赢取开水煲油以及电压力锅等多重好礼哦~快来参加吧！期待您的光临！""""""",正常
尊敬的客户，为了给您提供更好的服务体验和更多的优惠福利。中国移动将对您的移动资费进行全面升级！现在推出飞享套餐更划算：全国范围内接听免费、每月赠送国内流量1GB（0.5G+2M），更多叠加次数等你来拿；发短信至PHONE可第一时间掌握最新流量优惠信息。如需取消提醒请回复qxgtxcz到本机号码即可注销该业务通知功能并停止接收后续消息推送。,正常
尊敬的移动客户，欢迎您使用PLACE移动掌厅客户端！我们每天都有好礼相送。周一缴纳电费可享受DIGIT折优惠并返电子券；周二宽带续费赠送g流量红包；周三订购加油包买一赠一；周四多款新品手机线上首发；周五交满一定金额的手机费用即可立得元返还；周六和周日在线购买影票两人同行一人免单。首次登陆还有DIGITm流量红包送给您！赶快下载一个吧URL您的满意是我们最大的动力,正常
尊敬的客户，您好！我们很高兴向您推荐一部即将上映的电影《港囧》。这部电影由知名导演NAME执导，主演包括NAME、薇包和NAME。影片讲述了一群人在高空冒险的故事情节在“囧”途上爆笑归来。《详情点击URLctpn看直播下应用还能赚话费领流量抢来伊份优惠券图书音像礼券和歌友会门票》期待您的光临和支持！,正常
尊敬的客户，欢迎您来到这个充满历史和文化的老PLACE。这里家家户户垂柳依依，多种建筑风格相混合，既有古老的柱式砖拱券结构，又有纯德式的建筑元素。在这个NAME上流的地方，您可以感受到浓厚的历史底蕴和文化气息。环抱其中的是美丽的湖光倒影，让您仿佛置身于一个梦幻的世界中。请戳URL查看更多详情！,正常
尊敬的客户，感谢您一直以来对中国移动的支持。我们特别推荐购买我们的最新款三星手机并赠送最高价值DIGIT元的话费！只要在活动期间（详见下文）携带您的旧手机亲临中国移动的三星体验店办理相关手续即可享受优惠送完即止哦~地址是PLACEPLACE号PLACEDIGIT铺面NAME莲花PLACE新一城幢D.如果您有任何疑问或需要更多信息请拨打CELLPHONE点URLapp下载移动掌上服务厅轻松查询流量话费用g换卡还可包邮更换新一代更安全的中国移动手机卡。期待您的光临！,正常
尊敬的客户，联通充值抽大奖活动重磅来袭！即日起至XX月XX日期间一次性充值XXX元或以上话费的用户将在小时内收到抽奖链接。登陆即可参与多次抽取奖品的机会（包括iPhone手机、iPad平板电脑等）。如有疑问请咨询您的服务经理或者亲临当地营业厅进行查询和了解更多详情。同时点击URL登录到手机营业厅客户端并完成充值的用户可享受额外的折扣优惠。期待您的积极参与和支持我们的事业发展壮大！,正常
尊敬的用户，中国移动PLACE移动DIGIT服务厅新版上线啦！即日起至DIGIT年月日期间，您可以通过进入客户端首页后点击领DIGITm流量链接获取DIGITm流量。此外还有机会获得话费和享受办理流量叠加包及充值优惠活动哦~赶快通过wifi或正常下载收取费用来体验吧！,正常
尊敬的客户，截止XX月X日您个人实际消费XXX元，余额为XXX元。本月免费项目使用情况如下：省内赠送流量可享受XXXMB已用XXXMB剩余可用XXXMB.请及时查询话费、了解最新优惠信息并下载官方APP以便更便捷地获取充值折扣及在线客服支持！点击以下链接即可安装：[URL],正常
尊敬的客户，欢迎您关注我们的微信公众号！我们是一家位于城区的公司。现在正在进行开业钜惠活动，您可以享受秒杀、苹果PLUSNOTE等手机优惠价格购买的机会。如果您注册成为会员并分享此信息给您的朋友或家人，还可以获得DIGIT元购机券和更多惊喜礼品等待领取哦~快来参与吧！,正常
尊敬的用户，我们很高兴地宣布陈奕迅的DIGIT巡回演唱会即将在华人乐坛开启。这是一场决不能错过的演出！如果您想参加这场盛会并感受音乐的魅力，请回复数字下载彩铃就有机会免费获得门票哦~同时开通咪咕特级会员次月不退订可赠送DIGITm流量更可得三次抽取门票的机会了解活动详情点击[URL]不要错过这个难得的音乐体验和互动参与的好时机期待您的光临！,正常
尊敬的用户，您好！中移通讯紧急通知。为答谢广大用户的支持与厚爱，我们特别推出“DIGIT送海信苹果派大匹变频空调”活动。只要您在机械厂楼下移动营业厅缴纳话费并办理相关业务即可参与抽奖环节，有机会赢取五寸四核手机、海信苹果派等丰厚的奖品哦！（仅限号）赶快行动吧！期待您的光临！,正常
感谢您使用中国移动的掌上营业厅app。无论身处何地，只需点击下载该应用并登录您的账户即可随时随地办理业务、寻找优惠和享受更多便捷贴心的服务体验！如有任何疑问或需要帮助请拨打客服热线10086（按当地市话收费）咨询我们的专业人员为您服务祝您生活愉快,正常
尊敬的客户，欢迎您使用PLACE移动掌上营业厅客户端！我们为您提供了实时掌握最新优惠活动、快速查询帐详单的服务。为了感谢新用户的使用体验，本月底前登录并使用我们的掌厅客户端即可免费领取DIGITm省内通用流量包红包一份（仅限当月有效）。请立即生效享受快捷充值服务吧！详情请您点击链接查看[URL]。祝您用卡愉快！,正常
尊敬的联通用户，我们很高兴地通知您：您的手机已经升级到5G网络！只要持有支持5G网络的智能手机（即“g手机”），您可以随时在我们的覆盖范围内享受高速上网体验。请注意，“套餐保持不变”，但网速将更快、更流畅。“NAME选择套餐更优惠”。如果您需要关闭此服务或对相关问题有任何疑问，只需回复短信“gbg”（GetBacktoGround）。期待您的使用和反馈意见。,正常
尊敬的客户，联通诚挚邀您参加DIGIT年度盛宴。活动将于DIGIT月日于PLACEPLACENAME（海珠城广场）举办，现场将提供文化经贸等精彩内容展示和体验式互动环节。同时我们还为您准备了四天游享专属优惠价以及两天无限量免费上网福利！更可享受国际长途及漫游开通赠送精美小礼品等多重惊喜！快来报名吧~,正常
尊敬的客户，您好！感谢您一直以来对中国移动的支持与信任。为了回馈广大用户，我们特别推出了一项免费领取流量和话费的活动。只要在月DIGIT日前凭此短信携带身份证件至PLACE范围内的中国移动各大营业厅即可参与活动并享受以下福利：每月可获得最高GB范围的ggg网络省内不可共享、不能结转的网络流量；当月达到DIGITmb则次月起赠送最多连续个月的DGIT元的话费（最多多达个月）。已参加过本活动的无法再次享有该优惠哦~转发无效！期待您的光临！,正常
尊敬的用户，欢迎您参加中国移动和阅读活动！现在下载我们的客户端并参与免费送AppleWatch的活动。全站超过万本好书等待您的探索。点击以下链接即可开始：[插入URL],正常
